,,exret_mkt,FF_SMB,FF_HML,FF_RMW,FF_CMA,RF,FF_MOM,PR1,PR2,PR3,PR4,PR5,PR6,PR7,PR8,PR9,PR10,PR11,PR12,PR13,PR14,PR15,PR16,PR17,PR18,PR19,PR20,PR21,PR22,PR23,PR24,PR25,PRgrowth,PRvalue,Prsmall,Prlarge
15/10/1967,196710,-3.09,0.46,-3.39,0.81,-2.57,0.39,3.66,1.8018,-4.1665,-1.6472,-1.4905,-2.6636,-0.7706,-2.35,0.8625,-3.061,-5.0654,-3.5044,-1.0823,-3.6131,-3.0467,-2.4311,-4.4791,-5.4962,-5.2467,-2.6744,-5.2857,-0.2537,-4.0214,-2.6988,-6.1454,-6.5113,1.4,-6.68,   -1.09,   -1.76
15/11/1967,196711,0.37,-0.05,-1.71,1.29,-2.29,0.36,1.29,-1.0996,3.8612,-1.2548,-1.3378,-1.1192,1.0889,0.6125,2.9155,-0.0186,0.1165,2.6918,0.8272,0.7324,-0.3624,-0.7424,3.4448,0.3703,-0.1674,-0.0031,-0.6812,1.32,0.2806,0.1767,-0.5451,0.0559,1.66,0.54,   -1.10,    0.75
15/12/1967,196712,3.05,5.76,-0.39,-0.65,0.04,0.33,3.23,13.1287,10.4477,8.5964,9.5442,10.1156,12.4045,6.4006,9.0703,7.3106,9.125,7.7035,5.6646,5.4538,5.1231,7.4425,1.3426,2.7476,4.6684,4.6825,3.709,1.9513,3.0452,2.2363,5.5944,2.7927,1.7,4.36,   11.65,    2.30
15/01/1968,196801,-4.06,4.48,4.75,-4.58,6.45,0.4,-4.64,3.1407,2.3206,3.2516,3.3436,5.9703,-4.5761,-1.9196,-0.4451,1.1395,2.6246,-6.8746,-0.703,-0.7495,-0.6193,2.7128,-7.9332,0.1611,-2.8567,0.1027,-0.425,-6.2775,-5.8491,0.5939,-2.2794,-3.855,-8.61,-0.48,    5.69,   -4.56
15/02/1968,196802,-3.75,-2.92,1.17,-0.14,2.48,0.39,-3.41,-10.1,-7.1171,-5.3246,-6.9681,-5.6171,-6.9186,-6.3106,-8.8008,-3.5935,-5.6686,-6.9043,-3.9291,-2.9957,-2.3938,-4.5834,-5.4143,-3.4605,-2.7903,-5.2426,-3.8256,-3.0151,-2.2141,-2.0767,-3.2545,-1.8996,-3.65,-3.04,   -7.49,   -2.33
15/03/1968,196803,0.2,-1.52,-0.59,1.17,-1.15,0.38,3.18,-1.5197,0.0232,-0.3408,-2.0353,-0.0808,-0.386,-1.9529,-0.0514,-1.2807,-0.6398,1.9985,-0.4008,-2.4207,0.8087,-0.2267,0.4924,-0.1914,-1.2109,0.2816,-0.2883,3.0891,-1.3752,-0.3272,-1.7868,2.0264,3.68,0.18,   -1.53,    1.21
15/04/1968,196804,9.05,6.25,-1.03,2.79,-3.66,0.43,5.15,21.5666,17.4982,16.2498,16.4295,15.7733,18.9887,12.9114,17.9531,11.9895,12.7965,16.1637,12.1024,8.3798,10.2172,18.0481,12.6664,7.3196,8.309,13.0055,11.6528,10.7421,7.3968,3.3058,9.4085,10.5079,12.2,12.39,   17.06,    7.86
15/05/1968,196805,2.28,7.02,0.84,0.39,-1.85,0.45,3.73,10.7482,12.4771,10.6645,12.0171,11.7637,11.9163,7.9911,8.4496,7.3113,7.2448,8.7985,4.7084,4.8387,5.0905,6.9574,4.5846,4.6463,3.0181,2.7047,6.1608,2.2627,1.2638,-0.8041,-0.9839,4.6471,3.98,6.9,   14.72,    0.97
15/06/1968,196806,0.69,-0.28,0.67,-1.33,2.65,0.43,-1.92,-1.084,0.1315,1.6821,1.7411,0.1484,-1.1427,1.8703,-1.5643,1.7963,0.2819,-2.0214,3.3803,3.4887,1.6929,1.4674,-0.0312,4.0097,3.9297,2.7757,-2.1339,-0.0783,0.6179,4.1751,3.1761,-1.5962,-1.19,-1.22,    1.54,    0.84
15/07/1968,196807,-2.72,-1.32,5.48,-2.97,3.59,0.48,-0.84,-4.8989,-4.5797,-3.7324,-1.5152,0.8688,-8.8661,-3.9716,-2.2381,-0.0429,-0.2864,-5.7496,-3.8787,-3.5752,-0.9185,-0.1877,-5.5251,-3.6825,-4.1357,-1.3642,-2.2117,-5.2814,-0.9731,2.2888,0.928,1.1425,-5.7,-1.65,   -2.23,   -1.60
15/08/1968,196808,1.34,2.29,1,-0.66,0.42,0.42,1.88,4.5358,5.7899,4.8567,4.0979,4.7684,1.5708,3.3793,3.8146,1.2756,7.0846,3.1169,3.3219,2.7778,2.5291,4.959,1.6918,1.2835,1.9543,2.1697,3.0816,1.103,0.6809,1.7895,1.6543,2.8958,1.3,2.55,    4.69,    1.33
15/09/1968,196809,4.03,2.78,0.24,-2,0.89,0.43,-0.67,7.1571,8.4775,6.9346,5.9413,6.2607,7.0893,6.1265,7.1712,6.181,6.2715,7.1396,6.7986,3.3927,6.0255,6.3787,6.9308,6.0995,4.7209,6.7984,5.9042,2.0355,5.2998,2.315,4.2542,8.3027,1.82,7.59,    7.35,    3.01
15/10/1968,196810,0.42,-0.42,2.89,-1.35,2.79,0.44,-1.52,-2.0509,-0.0284,1.4029,0.6471,1.6519,-0.3053,0.775,1.8289,2.3727,0.948,-0.0979,2.5536,3.1274,2.5558,0.8152,-0.1166,0.5221,2.4105,0.7953,2.6068,-1.7441,2.1418,1.8832,3.7535,1.1467,-3.1,2.26,    0.15,    0.74
15/11/1968,196811,5.43,2.4,-0.9,0.49,-2.5,0.42,1.73,6.7527,7.7,6.4961,6.5934,6.9625,10.0842,9.0626,8.3338,8.9307,5.8823,8.4636,7.1643,7.9646,9.7545,7.7339,6.9554,7.7781,7.3314,7.2179,8.3577,6.2652,3.0015,5.7139,4.537,3.8015,7.51,2.9,    7.08,    4.87
15/12/1968,196812,-3.94,3.58,0.02,-1.73,1.66,0.43,0.11,4.0713,2.3431,0.6897,-0.2465,0.5304,-0.1048,0.5679,-1.4457,-3.0443,-3.5367,-2.6565,-4.0087,-1.3347,0.2336,-2.8746,-4.0227,-4.3659,-4.2761,-1.4502,-0.641,-5.3369,-4.4008,-3.157,-3.461,-3.0284,-4.57,-1.87,    3.42,   -4.58
15/01/1969,196901,-1.25,-0.46,1.69,-1.56,1.38,0.53,-0.15,-0.5288,-2.1183,-1.9265,-1.3137,-1.3131,-2.6921,-0.9995,-1.5233,1.2578,0.6382,-3.3241,-1.1184,-0.5219,-1.1641,-1.2081,-2.1842,0.1465,0.0071,-0.2821,1.2718,-2.1518,-0.4327,0.8018,-0.3636,1.6207,-2.86,2.36,   -0.57,   -0.96
15/02/1969,196902,-5.84,-4.12,0.9,2.14,0.79,0.46,-2.46,-12.3778,-10.726,-9.0526,-8.6709,-8.7759,-11.0517,-8.1595,-4.9194,-7.1111,-7.4439,-9.1695,-8.4117,-6.076,-7.0594,-5.7926,-8.1691,-7.4832,-4.9699,-7.2058,-8.7325,-3.3489,-3.1052,-5.0873,-4.6013,-6.2234,-4.4,-7.13,  -10.80,   -3.51
15/03/1969,196903,2.64,-0.39,-0.46,-1.31,-0.41,0.46,3.95,3.1292,2.4655,3.5593,4.1551,2.3585,4.2281,1.6875,2.1416,0.3812,5.4086,2.1036,2.6358,0.8656,2.5524,2.7419,4.647,-2.0836,2.4841,1.6877,3.5591,4.221,2.8972,3.7085,1.9452,4.9125,4.08,1.71,    3.04,    4.09
